id,title,translation,artist,artistKr,language,genre,genre1,genre2,theme,situation,target,emotion,sourceNote,media,sourceType,workTitle,tags,videoUrl,lyricsUrl,singCount,pick,thumbnailUrl,songIntro
S0015,この恋はスクープされない,이 사랑은 특종이 되지 않아,コレサワ,코레사와,일본어,인디 / 팝,인디,팝,사랑 / 비밀 / 설렘,사랑,비밀,설렘,오리지널 인디,오리지널,인디,,,https://www.youtube.com/watch?v=pfZKownsTnE,https://j-pop-playlist.tistory.com/64,2,False,https://img.youtube.com/vi/pfZKownsTnE/hqdefault.jpg,비밀스러운 사랑의 설렘을 가볍고 산뜻하게 담은 일본어 인디 팝.
S0016,Pretender,프리텐더,Official髭男dism,오피셜 히게단디즘,일본어,팝 / 발라드,팝,발라드,사랑 / 짝사랑 / 체념,사랑,짝사랑,체념,영화 OST 컨피던스 맨 JP,영화,OST,컨피던스 맨 JP,,https://www.youtube.com/watch?v=TQ8WlA2GXbk,https://m.blog.naver.com/zxhkb/222365390702,3,False,https://img.youtube.com/vi/TQ8WlA2GXbk/hqdefault.jpg,닿을 수 없는 사랑과 체념의 감정을 세련되게 풀어낸 일본어 팝 발라드.
S0017,未完成,미완성,家入レオ,이에이리 레오,일본어,팝 / 발라드,팝,발라드,성장 / 자신 / 혼란,성장,자신,혼란,드라마 OST 절대영도,드라마,OST,절대영도,,https://www.youtube.com/watch?v=ZvwdDxncn70,https://manifest.tistory.com/26,1,False,https://img.youtube.com/vi/ZvwdDxncn70/hqdefault.jpg,불완전한 자신과 마주하는 혼란을 드라마틱하게 담은 일본어 팝 발라드.
S0018,グリズリーに襲われたら♡,그리즐리에게 습격당한다면,神宿,카미야도,일본어,팝 / 댄스,팝,댄스,사랑 / 연인 / 헌신,사랑,연인,헌신,오리지널 인디 바이럴(유튜브),오리지널,인디,,바이럴(유튜브),https://www.youtube.com/watch?v=k7eGPMCy_ms,https://www.postype.com/@everythingimdigging/post/21416046,2,False,https://img.youtube.com/vi/k7eGPMCy_ms/hqdefault.jpg,사랑 앞에서의 헌신을 귀엽고 발랄한 댄스 팝 감성으로 풀어낸 곡.
S0019,オオカミ少年独白,늑대소년의 독백,sasakure.UK feat. Cana,사사쿠레 유케이 (feat. 카나),일본어,인디 / 일렉트로닉,인디,일렉트로닉,사랑 / 거짓말 / 집착,사랑,거짓말,집착,오리지널 인디 바이럴(유튜브),오리지널,인디,,바이럴(유튜브),https://www.youtube.com/watch?v=qHuil14X4o0,https://m.blog.naver.com/jqqttl/222119327259,1,False,https://img.youtube.com/vi/qHuil14X4o0/hqdefault.jpg,거짓말과 집착의 정서를 전자음 섞인 인디 감성으로 풀어낸 일본어 곡.
S0020,"나만, 봄",,볼빨간사춘기,,한국어,발라드 / 인디,발라드,인디,사랑 / 짝사랑 / 설렘,사랑,짝사랑,설렘,오리지널 인디,오리지널,인디,,,https://www.youtube.com/watch?v=AsXxuIdpkWM,https://music.bugs.co.kr/track/31531493?wl_ref=list_tr_08_search,2,False,https://img.youtube.com/vi/AsXxuIdpkWM/hqdefault.jpg,짝사랑의 봄 같은 설렘을 밝고 산뜻하게 담은 한국어 인디 발라드.
S0021,Pray,프레이,千菅春香,치스가 하루카,일본어,발라드 / 애니송,발라드,애니송,구원 / 의존 / 집착,구원,의존,집착,애니 ED 살육의 천사,애니,ED,살육의 천사,,https://www.youtube.com/watch?v=WOnpQYCeSbU,https://m.blog.naver.com/thdals2350/221326285382,1,False,https://img.youtube.com/vi/WOnpQYCeSbU/hqdefault.jpg,"구원과 의존, 집착의 어두운 정서를 품은 애니 ED 계열의 일본어 발라드."
S0022,紅蓮華,홍련화,LiSA,리사,일본어,록 / 애니송,록,애니송,성장 / 전투 / 결의,성장,전투,결의,애니 OP 귀멸의 칼날,애니,OP,귀멸의 칼날,,https://www.youtube.com/watch?v=x1FV6IrjZCY,https://m.blog.naver.com/youmk1005/222266210827,2,False,https://img.youtube.com/vi/x1FV6IrjZCY/hqdefault.jpg,성장과 전투의 결의를 강한 록 사운드로 밀어붙이는 일본어 애니송.
S0023,君に最後の口づけを,너에게 마지막 입맞춤을,majiko,마지코,일본어,인디 / 발라드,인디,발라드,사랑 / 이별상대 / 그리움,사랑,이별상대,그리움,오리지널 인디,오리지널,인디,,,https://www.youtube.com/watch?v=gqiRJn7me-s,https://blog.naver.com/your_starry_night/221410502867,1,False,https://img.youtube.com/vi/gqiRJn7me-s/hqdefault.jpg,이별한 상대를 향한 마지막 그리움을 섬세하게 담은 일본어 인디 발라드.
S0024,浮気は犯罪行為,바람피우는 건 범죄행위,たかやん,타카얀,일본어,팝 / 힙합,팝,힙합,연애 / 배신 / 분노,연애,배신,분노,오리지널 인디 바이럴(유튜브),오리지널,인디,,바이럴(유튜브),https://www.youtube.com/watch?v=9ULORQuVePo,https://utaten.com/lyric/rq21060901/?utm_source=chatgpt.com,1,False,https://img.youtube.com/vi/9ULORQuVePo/hqdefault.jpg,연애의 배신감과 분노를 직설적인 가사와 힙합 팝 감성으로 풀어낸 일본어 곡.
S0025,ラブホイッスル,러브 휘슬,CHiCO with HoneyWorks,치코 위드 허니웍스,일본어,팝 / 인디,팝,인디,사랑 / 썸 / 설렘,사랑,썸,설렘,오리지널 인디,오리지널,인디,,,https://www.youtube.com/watch?v=rN_oURyTblA,https://m.blog.naver.com/glslwl0328/221062897682,1,False,https://img.youtube.com/vi/rN_oURyTblA/hqdefault.jpg,썸과 고백 직전의 설렘을 밝게 표현한 허니웍스 계열 일본어 인디 팝.
S0026,夜明けと蛍,새벽과 반딧불이,n-buna,나부나,일본어,인디 / 발라드,인디,발라드,이별 / 기억 / 그리움,이별,기억,그리움,오리지널 인디 바이럴(유튜브),오리지널,인디,,바이럴(유튜브),https://www.youtube.com/watch?v=nDbNRb9gOr4,https://hobbyistlee.tistory.com/entry/KK-%EC%83%88%EB%B2%BD%EA%B3%BC%EB%B0%98%EB%94%A7%EB%B6%88%EC%9D%B4,1,False,https://img.youtube.com/vi/nDbNRb9gOr4/hqdefault.jpg,이별의 기억과 그리움을 새벽빛처럼 잔잔하게 담은 일본어 인디 발라드.
S0027,星合,별의 아이,all at once,올 앳 원스,일본어,팝 / 애니송,팝,애니송,사랑 / 재회 / 그리움,사랑,재회,그리움,애니 ED 명탐정 코난 한국판 18기,애니,ED,명탐정 코난,"별의아이, 코난, 명탐정코난, 星合",https://www.youtube.com/watch?v=rN7tfZU8v2I,https://m.blog.naver.com/bigmiracle268/222252802403,1,False,https://img.youtube.com/vi/rN7tfZU8v2I/hqdefault.jpg,미래를 향한 희망과 성장의 감정을 밝게 전하는 일본어 애니 OP 팝 발라드.
S0028,Lemon,레몬,米津玄師,요네즈 켄시,일본어,팝 / 발라드,팝,발라드,이별 / 상실 / 그리움,이별,상실,그리움,드라마 OST 언내추럴,드라마,OST,언내추럴,,https://www.youtube.com/watch?v=SX_ViT4Ra7k,https://sehyeok.tistory.com/207,2,False,https://img.youtube.com/vi/SX_ViT4Ra7k/hqdefault.jpg,상실과 그리움의 감정을 담담하면서도 깊게 풀어낸 일본어 드라마 OST 팝 발라드.
S0029,好きだから。,좋아하니까,『ユイカ』,유이카,일본어,인디 / 팝,인디,팝,사랑 / 짝사랑 / 고백,사랑,짝사랑,고백,오리지널 인디 바이럴(틱톡),오리지널,인디,,바이럴(틱톡),https://www.youtube.com/watch?v=eYAd4uDotF0,https://m.blog.naver.com/rkwkehfl/222489505489,1,False,https://img.youtube.com/vi/eYAd4uDotF0/hqdefault.jpg,짝사랑과 고백의 마음을 솔직하고 산뜻하게 담은 일본어 인디 팝.
S0030,호랑수월가,,상록수,,한국어,국악 / 발라드,국악,발라드,사랑 / 운명 / 그리움,사랑,운명,그리움,오리지널 인디 바이럴(유튜브),오리지널,인디,,바이럴(유튜브),https://www.youtube.com/watch?v=D92O5JT3E8A,https://music.bugs.co.kr/track/6143460?wl_ref=list_tr_08_search,1,False,https://img.youtube.com/vi/D92O5JT3E8A/hqdefault.jpg,"국악적 색채와 발라드 감성이 어우러진, 운명적 사랑과 그리움의 한국어 곡."
S0031,粛聖!! ロリ神レクイエム☆,숙청!! 로리신 레퀴엠,しぐれうい,시구레 우이,일본어,팝 / 일렉트로닉,팝,일렉트로닉,밈 / 도발 / 광기,밈,도발,광기,"유튜브 밈곡 바이럴(틱톡), 바이럴(쇼츠)",유튜브,밈곡,,"바이럴(틱톡), 바이럴(쇼츠)",https://www.youtube.com/watch?v=Ci_zad39Uhw,https://deokzip.tistory.com/91,1,False,https://img.youtube.com/vi/Ci_zad39Uhw/hqdefault.jpg,도발적이고 과장된 밈 감성을 전자 팝 사운드로 밀어붙이는 일본어 바이럴곡.
S0032,Gift,기프트,りんね(CV.佐倉綾音),이바라 린네/키사라기 루이,일본어,팝 / 애니송,팝,애니송,꿈 / 무대 / 벅참,꿈,무대,벅참,애니 삽입곡 꿈의 라이브 프리즘스톤,애니,삽입곡,꿈의 라이브 프리즘스톤,,https://www.youtube.com/watch?v=Q3Z-gSLITTU,https://wowprismwow.tistory.com/79?utm_source=chatgpt.com,1,False,https://img.youtube.com/vi/Q3Z-gSLITTU/hqdefault.jpg,무대와 꿈을 향한 벅찬 감정을 밝게 담은 애니 삽입곡 계열의 일본어 팝.
S0033,プラチナ,플라티나,坂本真綾,사카모토 마아야,일본어,팝 / 애니송,팝,애니송,꿈 / 자신 / 희망,꿈,자신,희망,애니 OP 카드캡터 사쿠라,애니,OP,카드캡터 사쿠라,,https://www.youtube.com/watch?v=IV1UKpNXHhk,https://blog.naver.com/ujukokkiri/222381018329,1,False,https://img.youtube.com/vi/IV1UKpNXHhk/hqdefault.jpg,자신의 꿈과 희망을 청량하게 노래하는 카드캡터 사쿠라 계열의 일본어 애니송.
S0034,고민중독,T.B.H,QWER,큐더블유이알,한국어,팝 · 록,팝,록,사랑 / 짝사랑 / 설렘,사랑,짝사랑,설렘,,,,,,https://www.youtube.com/watch?v=ImuWa3SJulY,,1,False,https://img.youtube.com/vi/ImuWa3SJulY/hqdefault.jpg,
S0035,No.1,넘버원,西野カナ,니시노 카나,일본어,팝 · 발라드,팝,발라드,사랑 / 짝사랑 / 설렘,사랑,짝사랑,설렘,드라마 주제가,드라마,주제가,掟上今日子の備忘録,"넘버원,No1,니시노카나,오키테가미쿄코의비망록",https://www.youtube.com/watch?v=VLHx3MDoCzA,,0,False,https://img.youtube.com/vi/VLHx3MDoCzA/hqdefault.jpg,
S0036,チョコレイトと秘密のレシピ,초콜릿과 비밀의 레시피,魔法少女あふた～ざ☆れいん,마법소녀 애프터 더 레인,일본어,팝 · 애니송,팝,애니송,사랑 / 고백 / 설렘,사랑,고백,설렘,After the Rain 캐릭터/유닛 곡,유튜브,오리지널,魔法少女あふた～ざ☆れいん,"초콜릿과비밀의레시피,チョコレイトと秘密のレシピ,마후마후,そらる,AftertheRain",https://www.youtube.com/watch?v=-rkSWV4zpD0,,0,False,https://img.youtube.com/vi/-rkSWV4zpD0/hqdefault.jpg,
S0037,New Future,뉴 퓨처,이용신,이용신,한국어,팝 · 애니송,팝,애니송,꿈 / 무대 / 희망,꿈,무대,희망,달빛천사 한국판 삽입곡,애니,삽입곡,달빛천사,"NewFuture,뉴퓨처,달빛천사,만월을찾아서,FullMoonwoSagashite,이용신",https://www.youtube.com/watch?v=9YKKuM_1QEs,,0,False,https://img.youtube.com/vi/9YKKuM_1QEs/hqdefault.jpg,
S0038,꿈을 향해,,쥬얼리,쥬얼리,한국어,팝 · 애니송,팝,애니송,꿈 / 약속 / 희망,꿈,약속,희망,명탐정 코난 한국판 3기 오프닝,애니,OP,명탐정 코난,"꿈을향해,명탐정코난,코난,코난3기,쥬얼리",https://www.youtube.com/watch?v=LFvImAvwz60,,0,False,https://img.youtube.com/vi/LFvImAvwz60/hqdefault.jpg,
